"Name","FullPath","Directory","Extension","SizeKB","Created","Modified","MatchedKeywords","ActionNeeded","SafetyStatus"
"AlgoTradez_AI-OS_Roadmap.csv","C:\Users\mylab\Downloads\AlgoTradez_AI-OS_Roadmap.csv","C:\Users\mylab\Downloads",".csv","5.64","4/27/2026 4:28:11 PM","4/27/2026 4:28:11 PM","AI-OS","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_EDIT"
"AlgoTradez_AI-OS_Roadmap_1.csv","C:\Users\mylab\Downloads\AlgoTradez_AI-OS_Roadmap_1.csv","C:\Users\mylab\Downloads",".csv","5.64","4/27/2026 4:32:22 PM","4/27/2026 4:32:22 PM","AI-OS","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_EDIT"
"whitepaper.pdf","C:\Users\mylab\Downloads\whitepaper.pdf","C:\Users\mylab\Downloads",".pdf","5.45","3/24/2026 4:39:14 PM","3/24/2026 4:39:16 PM","whitepaper","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_EDIT"
"app.py","C:\Users\mylab\OneDrive\AI-OS-Project\_REVIEW\Desktop_Ai_Os_Stale\app.py","C:\Users\mylab\OneDrive\AI-OS-Project\_REVIEW\Desktop_Ai_Os_Stale",".py","1.66","5/1/2026 5:30:14 PM","5/1/2026 7:31:27 PM","AI_OS; AI-OS","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_EDIT"
"deploy.zip","C:\Users\mylab\OneDrive\AI-OS-Project\_REVIEW\Desktop_Ai_Os_Stale\deploy.zip","C:\Users\mylab\OneDrive\AI-OS-Project\_REVIEW\Desktop_Ai_Os_Stale",".zip","23732.12","5/1/2026 5:10:22 PM","5/1/2026 8:01:54 PM","AI_OS; AI-OS","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_EDIT"
"download.jpg","C:\Users\mylab\OneDrive\AI-OS-Project\_REVIEW\Desktop_Ai_Os_Stale\download.jpg","C:\Users\mylab\OneDrive\AI-OS-Project\_REVIEW\Desktop_Ai_Os_Stale",".jpg","3.59","4/30/2026 4:30:16 PM","4/30/2026 4:30:16 PM","AI_OS; AI-OS","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_EDIT"
"project.manifest.json","C:\Users\mylab\OneDrive\AI-OS-Project\_REVIEW\Desktop_Ai_Os_Stale\project.manifest.json","C:\Users\mylab\OneDrive\AI-OS-Project\_REVIEW\Desktop_Ai_Os_Stale",".json","0.11","3/25/2026 4:29:24 PM","3/25/2026 4:31:11 PM","AI_OS; AI-OS","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_EDIT"
"staticwebapp.config.json","C:\Users\mylab\OneDrive\AI-OS-Project\_REVIEW\Desktop_Ai_Os_Stale\staticwebapp.config.json","C:\Users\mylab\OneDrive\AI-OS-Project\_REVIEW\Desktop_Ai_Os_Stale",".json","0.09","5/1/2026 3:29:58 PM","5/1/2026 3:29:58 PM","AI_OS; AI-OS","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_EDIT"
"AGENTS.md","C:\Users\mylab\OneDrive\AI-OS-Project\AGENTS.md","C:\Users\mylab\OneDrive\AI-OS-Project",".md","3.62","5/3/2026 7:59:26 PM","5/3/2026 8:02:07 PM","AI-OS; AGENTS.md","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_EDIT"
"dashboard.html","C:\Users\mylab\OneDrive\AI-OS-Project\Ai_Os Node\HTML\dashboard.html","C:\Users\mylab\OneDrive\AI-OS-Project\Ai_Os Node\HTML",".html","70.85","4/30/2026 1:12:42 PM","5/1/2026 8:43:31 PM","AI_OS; AI-OS","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_EDIT"
"desktop.ini","C:\Users\mylab\OneDrive\AI-OS-Project\Ai_Os Node\HTML\desktop.ini","C:\Users\mylab\OneDrive\AI-OS-Project\Ai_Os Node\HTML",".ini","0.08","5/2/2026 7:02:21 PM","5/2/2026 7:02:21 PM","AI_OS; AI-OS","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_EDIT"
"README.html","C:\Users\mylab\OneDrive\AI-OS-Project\Ai_Os Node\HTML\README.html","C:\Users\mylab\OneDrive\AI-OS-Project\Ai_Os Node\HTML",".html","24.6","5/2/2026 10:32:13 AM","5/2/2026 10:32:13 AM","AI_OS; AI-OS","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_EDIT"
"AIOS_Inventory_Only_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project\AIOS_Inventory_Only_v1.ps1","C:\Users\mylab\OneDrive\AI-OS-Project",".ps1","3.69","5/4/2026 4:20:46 PM","5/4/2026 4:20:46 PM","AIOS; AI-OS","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_EDIT"
"AlgoTradez_IncidentReport_2026-05-01.csv","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\Postmortem\AlgoTradez_IncidentReport_2026-05-01.csv","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\Postmortem",".csv","9.05","5/1/2026 5:54:09 PM","5/1/2026 5:54:09 PM","AI-OS","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_EDIT"
"CONFUSION(APPS GONE)WORNG ORDER.txt","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\Postmortem\CONFUSION(APPS GONE)WORNG ORDER.txt","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\Postmortem",".txt","84.91","5/1/2026 4:19:01 PM","5/1/2026 4:19:01 PM","AI-OS","REVIEW_ONLY","NO_MOVE_NO_DELETE_NO_EDIT"
