"Decision","AllowedDecisions","Name","FullPath","ProposedAction","TargetZone","ProposedTargetPath","RiskLevel","Reason","HumanNotes"
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","README.md","C:\Users\mylab\OneDrive\Desktop\Ai_Os\agent\runtime\README.md","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK",".gitignore","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\.gitignore","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","eslint.config.js","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\eslint.config.js","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","index.html","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\index.html","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","package.json","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\package.json","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","package-lock.json","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\package-lock.json","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","favicon.svg","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\public\favicon.svg","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","icons.svg","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\public\icons.svg","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","README.md","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\README.md","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","App.css","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\App.css","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","App.jsx","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\App.jsx","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","hero.png","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\assets\hero.png","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","react.svg","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\assets\react.svg","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","vite.svg","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\assets\vite.svg","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","index.css","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\index.css","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","main.jsx","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\main.jsx","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","vite.config.js","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\vite.config.js","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","README.md","C:\Users\mylab\OneDrive\Desktop\Ai_Os\automation\pipeline\README.md","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","config.py","C:\Users\mylab\OneDrive\Desktop\Ai_Os\bot\config.py","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","main.py","C:\Users\mylab\OneDrive\Desktop\Ai_Os\bot\main.py","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","webhook.py","C:\Users\mylab\OneDrive\Desktop\Ai_Os\bot\webhook.py","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","deploy.zip","C:\Users\mylab\OneDrive\Desktop\Ai_Os\deploy.zip","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","api-contract.md","C:\Users\mylab\OneDrive\Desktop\Ai_Os\docs\specs\api-contract.md","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","automation-pipeline.md","C:\Users\mylab\OneDrive\Desktop\Ai_Os\docs\specs\automation-pipeline.md","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","ui-spec.md","C:\Users\mylab\OneDrive\Desktop\Ai_Os\docs\specs\ui-spec.md","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","README.md","C:\Users\mylab\OneDrive\Desktop\Ai_Os\inputs\README.md","REVIEW_DUPLICATE_WORKING_COPY","DESKTOP_WORKING_COPY","","MEDIUM","Desktop Ai_Os appears to be a duplicate/parallel working copy. Needs diff before merge.",""
