"Name","Count","Paths"
"README.md","4","C:\Users\mylab\OneDrive\Desktop\Ai_Os\agent\runtime\README.md | C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\README.md | C:\Users\mylab\OneDrive\Desktop\Ai_Os\automation\pipeline\README.md | C:\Users\mylab\OneDrive\Desktop\Ai_Os\inputs\README.md"
"main.py","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\bot\main.py"
"webhook.py","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\bot\webhook.py"
"deploy.zip","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\deploy.zip"
"main.jsx","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\main.jsx"
"vite.config.js","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\vite.config.js"
"config.py","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\bot\config.py"
"api-contract.md","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\docs\specs\api-contract.md"
"READme.pdf","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\pdf\READme.pdf"
"whitepaper.pdf","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\pdf\whitepaper.pdf"
"folderUse.txt","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\txt\folderUse.txt"
"automation-pipeline.md","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\docs\specs\automation-pipeline.md"
"ui-spec.md","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\docs\specs\ui-spec.md"
"whitepaper.md","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\inputs\whitepaper.md"
"package.json","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\package.json"
"package-lock.json","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\package-lock.json"
"favicon.svg","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\public\favicon.svg"
".gitignore","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\.gitignore"
"eslint.config.js","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\eslint.config.js"
"index.html","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\index.html"
"icons.svg","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\public\icons.svg"
"react.svg","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\assets\react.svg"
"vite.svg","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\assets\vite.svg"
"index.css","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\index.css"
"App.css","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\App.css"
"App.jsx","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\App.jsx"
"hero.png","1","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\assets\hero.png"
