"HumanDecision","AllowedDecisions","Directory","FileCount","ProposedAuthority","ExecutionStatus","Reason","ProposedActions","RiskLevels","TargetZones","ExampleFiles","HumanNotes"
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\docs\AI_OS\system_wizards","9","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","00_START_HERE_AI_OS_CONTEXT_PACK.md | 01_CURRENT_STATE.md | 02_CHECKPOINT.md | 03_ARCHITECTURE_LOCK.md | 04_AGENT_ROLES.md",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\docs\AI_OS\system_wizards","9","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","00_START_HERE_AI_OS_CONTEXT_PACK.md | 01_CURRENT_STATE.md | 02_CHECKPOINT.md | 03_ARCHITECTURE_LOCK.md | 04_AGENT_ROLES.md",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\apps\dashboard","7","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN",".gitignore | eslint.config.js | index.html | package.json | package-lock.json",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\apps\dashboard","7","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE",".gitignore | eslint.config.js | index.html | package.json | package-lock.json",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210","5","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE | DELETE_CANDIDATE_AFTER_BACKUP","MEDIUM | LOW","BACKUP_ARCHIVE | WINDOWS_METADATA",".gitignore | AGENTS.md | desktop.ini | project.manifest.json | README.md",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN","4","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN",".gitignore | AGENTS.md | project.manifest.json | README.md",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\services\orchestrator","4","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","index.js | package.json | package-lock.json | README.md",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\apps\dashboard\src","4","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","App.css | App.jsx | index.css | main.jsx",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\ai-rtony91_Ai_Os_CLEAN\services\orchestrator","4","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_AS_GITHUB_WORKING_REPO","LOW","GITHUB_REPO_CLEAN","index.js | package.json | package-lock.json | README.md",""
"HOLD","HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\apps\dashboard\src","4","GITHUB_CODEX_REPO_CANDIDATE","BLOCK_UNTIL_REPO_APPROVAL","Looks like GitHub/Codex repo candidate.","KEEP_READ_ONLY_ARCHIVE","MEDIUM","BACKUP_ARCHIVE","App.css | App.jsx | index.css | main.jsx",""
