"Decision","AllowedDecisions","Name","FullPath","ProposedAction","TargetZone","ProposedTargetPath","RiskLevel","Reason","HumanNotes"
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\AI-OS-Project\Ai_Os Node\HTML\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\AI-OS-Project\control\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\AI-OS-Project\daily-progress\daily progress\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\AI-OS-Project\daily-progress\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\AI-OS-Project\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\AI-OS-Project\docs\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\Desktop\Ai_Os\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Ai_Os Node\HTML\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","desktop.ini","C:\Users\mylab\OneDrive\GitHub\_HOLD_ai-rtony91_Ai_Os_20260504_131210\desktop.ini","DELETE_CANDIDATE_AFTER_BACKUP","WINDOWS_METADATA","","LOW","Windows folder view metadata. Not project source-of-truth.",""
