"Decision","AllowedDecisions","Name","FullPath","ProposedAction","TargetZone","ProposedTargetPath","RiskLevel","Reason","HumanNotes"
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_AI-OS_Roadmap.csv","C:\Users\mylab\Downloads\AlgoTradez_AI-OS_Roadmap.csv","MOVE_CANDIDATE_TO_INBOX","DOWNLOADS_AI_OS","C:\Users\mylab\OneDrive\AI-OS-Project\_INBOX\downloads_import_review","LOW","Downloaded AI_OS reference file. Place in inbox/review before canonizing.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_AI-OS_Roadmap_1.csv","C:\Users\mylab\Downloads\AlgoTradez_AI-OS_Roadmap_1.csv","MOVE_CANDIDATE_TO_INBOX","DOWNLOADS_AI_OS","C:\Users\mylab\OneDrive\AI-OS-Project\_INBOX\downloads_import_review","LOW","Downloaded AI_OS reference file. Place in inbox/review before canonizing.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","whitepaper.pdf","C:\Users\mylab\Downloads\whitepaper.pdf","MOVE_CANDIDATE_TO_INBOX","DOWNLOADS_AI_OS","C:\Users\mylab\OneDrive\AI-OS-Project\_INBOX\downloads_import_review","LOW","Downloaded AI_OS reference file. Place in inbox/review before canonizing.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","aios_circle_512.png","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\aios_circle_512.png","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","aios_node_logo_v2.svg","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\aios_node_logo_v2.svg","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","aios_square_vs_circle.svg","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\aios_square_vs_circle.svg","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","files.zip","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\files.zip","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","aios_circle_512.png","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\files\aios_circle_512.png","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","aios_logo_512.png","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\files\aios_logo_512.png","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","apple-touch-icon.png","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\files\apple-touch-icon.png","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","favicon.ico","C:\Users\mylab\OneDrive\AI-OS-Project\logo.icons\files\favicon.ico","MOVE_CANDIDATE_BRANDING","BRANDING_ASSETS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\branding","LOW","Logo/insignia assets belong in branding layer later.",""
