"Decision","AllowedDecisions","Name","FullPath","ProposedAction","TargetZone","ProposedTargetPath","RiskLevel","Reason","HumanNotes"
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AGENTS.md","C:\Users\mylab\OneDrive\AI-OS-Project\AGENTS.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_IncidentReport_2026-05-01.csv","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\Postmortem\AlgoTradez_IncidentReport_2026-05-01.csv","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","CONFUSION(APPS GONE)WORNG ORDER.txt","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\Postmortem\CONFUSION(APPS GONE)WORNG ORDER.txt","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","SITREP_AI_OS_Consolidation_2026-05-02.md","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\SITREP\SITREP_AI_OS_Consolidation_2026-05-02.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_DailyProgress_2026-05-02.csv","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\WEEK 1\AlgoTradez_DailyProgress_2026-05-02.csv","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_DailyProgress_2026-05-02.xlsx","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\WEEK 1\AlgoTradez_DailyProgress_2026-05-02.xlsx","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_DailyReport_2026-05-01.csv","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\WEEK 1\AlgoTradez_DailyReport_2026-05-01.csv","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_Session_Log_2026-04-30-1.xlsx","C:\Users\mylab\OneDrive\AI-OS-Project\backtest_results\Reports\may 2026\WEEK 1\AlgoTradez_Session_Log_2026-04-30-1.xlsx","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","CODEX_TASK.txt","C:\Users\mylab\OneDrive\AI-OS-Project\CODEX_TASK.txt","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AAR_AI_OS_Consolidation_2026-05-02.md","C:\Users\mylab\OneDrive\AI-OS-Project\control\AAR\AAR_AI_OS_Consolidation_2026-05-02.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AI-OS_MORNING_EXECUTION_PACKET.md","C:\Users\mylab\OneDrive\AI-OS-Project\control\AI-OS_MORNING_EXECUTION_PACKET.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
