"ItemPath","Exists","ItemType","FileCount","TotalSizeMB","NewestFile","NewestWriteTime","OldestWriteTime","SourceStage","ProposedAction","HumanDecision","ExecutionStatus","Reason"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard","YES","FOLDER","4323","76.93","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\README.md","5/1/2026 3:48:31 PM","3/25/2026 5:01:24 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1","YES","FOLDER","56","0.07","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\.azure\config","4/30/2026 1:21:34 PM","4/27/2026 12:49:59 AM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs","YES","FOLDER","6","1.13","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs\desktop.ini","5/2/2026 6:35:48 PM","4/27/2026 4:30:08 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\_REVIEW\Desktop_Ai_Os_Stale","YES","FOLDER","5","23.18","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\_REVIEW\Desktop_Ai_Os_Stale\deploy.zip","5/1/2026 8:01:54 PM","3/25/2026 4:31:11 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026","YES","FOLDER","94","24.69","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\EOD prompt\AI-OS_EOD_PROMPT.md","5/2/2026 7:39:44 PM","3/25/2026 4:31:11 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\WEEK 1","YES","FOLDER","4","0.03","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\WEEK 1\AlgoTradez_DailyProgress_2026-05-02.csv","5/2/2026 8:57:56 AM","5/1/2026 1:33:37 AM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src","YES","FOLDER","7","0.06","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\assets\react.svg","3/25/2026 5:01:25 PM","3/25/2026 5:01:24 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\bot","YES","FOLDER","5","0.01","C:\Users\mylab\OneDrive\Desktop\Ai_Os\bot\webhook.py","4/28/2026 1:19:28 PM","4/28/2026 1:19:28 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\docs\specs","YES","FOLDER","3","0","C:\Users\mylab\OneDrive\Desktop\Ai_Os\docs\specs\api-contract.md","3/25/2026 4:45:52 PM","3/25/2026 4:45:36 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Ai_Os Node\HTML","YES","FOLDER","3","0.09","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Ai_Os Node\HTML\desktop.ini","5/2/2026 7:02:21 PM","5/1/2026 8:43:31 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
