"ItemPath","Extension","Count"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".js","2259"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".ts","607"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".map","433"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".json","194"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".md","167"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard","[no extension]","156"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".cts","141"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".cjs","130"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".mjs","49"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".mts","48"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".flow","36"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".jst","25"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".ps1","14"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".cmd","14"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".yml","12"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".def","5"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".txt","4"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".svg","4"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".markdown","3"
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard",".css","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1","[no extension]","34"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1",".sample","14"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1",".txt","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1",".py","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1",".pyc","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1",".html","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1",".gitignore","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1",".env","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs",".md","3"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs",".csv","2"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs",".ini","1"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\_REVIEW\Desktop_Ai_Os_Stale",".json","2"
