"HumanDecision","AllowedDecisions","ItemPath","ItemType","FileCount","TotalSizeMB","ProposedAction","SuggestedDecision","GuideReason","NewestWriteTime","HumanNotes"
"HOLD","HOLD | KEEP | REVIEW_FOR_ARCHIVE_AFTER_BACKUP | BLOCK_NO_TOUCH | BLOCK_GITHUB_ACTION | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard","FOLDER","4323","76.93","NEEDS_MORE_EVIDENCE","KEEP_OR_MANUAL_REVIEW","Large folder. Do not archive/delete automatically.","5/1/2026 3:48:31 PM",""
"HOLD","HOLD | KEEP | REVIEW_FOR_ARCHIVE_AFTER_BACKUP | BLOCK_NO_TOUCH | BLOCK_GITHUB_ACTION | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1","FOLDER","56","0.07","NEEDS_MORE_EVIDENCE","NEEDS_MORE_EVIDENCE","Default hold state until human review.","4/30/2026 1:21:34 PM",""
"HOLD","HOLD | KEEP | REVIEW_FOR_ARCHIVE_AFTER_BACKUP | BLOCK_NO_TOUCH | BLOCK_GITHUB_ACTION | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs","FOLDER","6","1.13","NEEDS_MORE_EVIDENCE","NEEDS_MORE_EVIDENCE","Default hold state until human review.","5/2/2026 6:35:48 PM",""
"HOLD","HOLD | KEEP | REVIEW_FOR_ARCHIVE_AFTER_BACKUP | BLOCK_NO_TOUCH | BLOCK_GITHUB_ACTION | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\_REVIEW\Desktop_Ai_Os_Stale","FOLDER","5","23.18","NEEDS_MORE_EVIDENCE","NEEDS_MORE_EVIDENCE","Default hold state until human review.","5/1/2026 8:01:54 PM",""
"HOLD","HOLD | KEEP | REVIEW_FOR_ARCHIVE_AFTER_BACKUP | BLOCK_NO_TOUCH | BLOCK_GITHUB_ACTION | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026","FOLDER","94","24.69","NEEDS_MORE_EVIDENCE","NEEDS_MORE_EVIDENCE","Default hold state until human review.","5/2/2026 7:39:44 PM",""
"HOLD","HOLD | KEEP | REVIEW_FOR_ARCHIVE_AFTER_BACKUP | BLOCK_NO_TOUCH | BLOCK_GITHUB_ACTION | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\WEEK 1","FOLDER","4","0.03","NEEDS_MORE_EVIDENCE","NEEDS_MORE_EVIDENCE","Default hold state until human review.","5/2/2026 8:57:56 AM",""
"HOLD","HOLD | KEEP | REVIEW_FOR_ARCHIVE_AFTER_BACKUP | BLOCK_NO_TOUCH | BLOCK_GITHUB_ACTION | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src","FOLDER","7","0.06","NEEDS_MORE_EVIDENCE","NEEDS_MORE_EVIDENCE","Default hold state until human review.","3/25/2026 5:01:25 PM",""
"HOLD","HOLD | KEEP | REVIEW_FOR_ARCHIVE_AFTER_BACKUP | BLOCK_NO_TOUCH | BLOCK_GITHUB_ACTION | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\bot","FOLDER","5","0.01","NEEDS_MORE_EVIDENCE","NEEDS_MORE_EVIDENCE","Default hold state until human review.","4/28/2026 1:19:28 PM",""
"HOLD","HOLD | KEEP | REVIEW_FOR_ARCHIVE_AFTER_BACKUP | BLOCK_NO_TOUCH | BLOCK_GITHUB_ACTION | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\docs\specs","FOLDER","3","0","NEEDS_MORE_EVIDENCE","NEEDS_MORE_EVIDENCE","Default hold state until human review.","3/25/2026 4:45:52 PM",""
"HOLD","HOLD | KEEP | REVIEW_FOR_ARCHIVE_AFTER_BACKUP | BLOCK_NO_TOUCH | BLOCK_GITHUB_ACTION | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Ai_Os Node\HTML","FOLDER","3","0.09","NEEDS_MORE_EVIDENCE","NEEDS_MORE_EVIDENCE","Default hold state until human review.","5/2/2026 7:02:21 PM",""
"HOLD","HOLD | KEEP | REVIEW_FOR_ARCHIVE_AFTER_BACKUP | BLOCK_NO_TOUCH | BLOCK_GITHUB_ACTION | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Yubikey","FOLDER","3","0.02","NEEDS_MORE_EVIDENCE","BLOCK_NO_TOUCH","Sensitive-looking path or name.","5/2/2026 5:27:17 PM",""
"HOLD","HOLD | KEEP | REVIEW_FOR_ARCHIVE_AFTER_BACKUP | BLOCK_NO_TOUCH | BLOCK_GITHUB_ACTION | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\assets","FOLDER","3","0.06","NEEDS_MORE_EVIDENCE","NEEDS_MORE_EVIDENCE","Default hold state until human review.","3/25/2026 5:01:25 PM",""
"HOLD","HOLD | KEEP | REVIEW_FOR_ARCHIVE_AFTER_BACKUP | BLOCK_NO_TOUCH | BLOCK_GITHUB_ACTION | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\Postmortem","FOLDER","2","0.09","NEEDS_MORE_EVIDENCE","NEEDS_MORE_EVIDENCE","Default hold state until human review.","5/1/2026 5:54:09 PM",""
"HOLD","HOLD | KEEP | REVIEW_FOR_ARCHIVE_AFTER_BACKUP | BLOCK_NO_TOUCH | BLOCK_GITHUB_ACTION | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control","FOLDER","4","0.02","NEEDS_MORE_EVIDENCE","NEEDS_MORE_EVIDENCE","Default hold state until human review.","5/2/2026 7:39:44 PM",""
"HOLD","HOLD | KEEP | REVIEW_FOR_ARCHIVE_AFTER_BACKUP | BLOCK_NO_TOUCH | BLOCK_GITHUB_ACTION | NEEDS_MORE_EVIDENCE","C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\pdf","FOLDER","2","0.01","NEEDS_MORE_EVIDENCE","NEEDS_MORE_EVIDENCE","Default hold state until human review.","3/24/2026 4:40:20 PM",""
