"Category","Name","Path","Exists","FileCount","FolderCount","Status","Notes"
"REQUIRED_FOLDER","00_START_HERE","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\00_START_HERE","True","9","0","OK","Required AI_OS scaffold folder."
"REQUIRED_FOLDER","01_CURRENT_STATE","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\01_CURRENT_STATE","True","4","0","OK","Required AI_OS scaffold folder."
"REQUIRED_FOLDER","02_RULES","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\02_RULES","True","6","0","OK","Required AI_OS scaffold folder."
"REQUIRED_FOLDER","03_CONTEXT_PACK","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\03_CONTEXT_PACK","True","5","3","OK","Required AI_OS scaffold folder."
"REQUIRED_FOLDER","04_INVENTORY","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\04_INVENTORY","True","4","1","OK","Required AI_OS scaffold folder."
"REQUIRED_FOLDER","04_SCAFFOLD_BLUEPRINT","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\04_SCAFFOLD_BLUEPRINT","True","5","0","OK","Required AI_OS scaffold folder."
"REQUIRED_FOLDER","05_CLASSIFICATION","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\05_CLASSIFICATION","True","2","0","OK","Required AI_OS scaffold folder."
"REQUIRED_FOLDER","05_SOURCE_LOG","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\05_SOURCE_LOG","True","1","0","OK","Required AI_OS scaffold folder."
"REQUIRED_FOLDER","06_APPROVALS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\06_APPROVALS","True","5","4","OK","Required AI_OS scaffold folder."
"REQUIRED_FOLDER","07_MOVE_PLANS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\07_MOVE_PLANS","True","3","12","OK","Required AI_OS scaffold folder."
